Date,Price_Residential,Production,Imports,Exports,Consumption
15/01/2001,10.12,2096948,373077,25547,2676998
15/02/2001,10.26,1910051,328289,26882,2309464
15/03/2001,9.85,2116381,358103,32121,2246633
15/04/2001,10.16,2028145,318573,23637,1807170
15/05/2001,11.14,2070749,321878,28981,1522382
15/06/2001,11.58,1993266,317414,24554,1444378
15/07/2001,11.22,2041970,364571,31219,1598071
15/08/2001,10.89,2056737,353338,28965,1669178
15/09/2001,10.17,2009185,314864,33517,1494128
15/10/2001,8.24,2097034,326114,34452,1649073
15/11/2001,7.98,2006035,291044,41840,1700950
15/12/2001,7.3,2074278,309673,41564,2120198
15/01/2002,7.38,2057728,343481,34491,2487638
15/02/2002,7.23,1858737,305917,30383,2242427
15/03/2002,7.1,2061811,332596,38141,2258431
15/04/2002,7.66,1978245,315116,39194,1880985
15/05/2002,8.54,2027979,319404,39459,1611453
15/06/2002,9.58,1969276,318002,44939,1591373
15/07/2002,10.31,2036905,344641,45032,1748435
15/08/2002,10.44,2018574,356013,46511,1725712
15/09/2002,10.23,1922715,335594,46563,1542170
15/10/2002,8.61,1976488,343427,42109,1645873
15/11/2002,7.99,1979436,330544,54589,1913629
15/12/2002,7.87,2053385,370729,54821,2378895
15/01/2003,8.18,2056766,359168,58449,2700545
15/02/2003,8.58,1880691,308804,56393,2500315
15/03/2003,9.77,2104114,324364,51851,2197936
15/04/2003,10.18,2007565,314655,48831,1743530
15/05/2003,10.79,2016922,325157,48519,1514697
15/06/2003,12.08,1970130,306878,51924,1368369
15/07/2003,12.75,1991705,340532,48707,1600484
15/08/2003,12.84,2033633,331628,50962,1651580
15/09/2003,12.31,1976511,320676,53337,1428554
15/10/2003,10.64,2057161,331005,62314,1553189
15/11/2003,9.77,1977961,316721,71867,1753642
15/12/2003,9.51,2045819,364161,76769,2263659
15/01/2004,9.71,2062805,373195,67024,2675834
15/02/2004,9.85,1920843,345930,69805,2511097
15/03/2004,10.03,2076537,348992,90982,2100921
15/04/2004,10.54,1995315,325105,61916,1745171
15/05/2004,11.63,2001333,326541,60968,1573043
15/06/2004,13.08,1965797,341934,64227,1483684
15/07/2004,13.54,2019157,374651,67031,1584933
15/08/2004,13.74,2016570,360244,67491,1577962
15/09/2004,13.31,1909243,344621,74439,1482150
15/10/2004,11.69,2009174,335533,61174,1557224
15/11/2004,11.44,1969226,368685,86431,1782796
15/12/2004,11.09,2023680,413128,82649,2327730
15/01/2005,10.9,2035036,405016,91395,2561858
15/02/2005,10.87,1870546,356495,89576,2242986
15/03/2005,10.84,2080504,379650,96220,2205787
15/04/2005,11.88,1979474,326147,55538,1724877
15/05/2005,12.74,2010625,333997,58944,1522613
15/06/2005,13.79,1972975,321710,54807,1534122
15/07/2005,14.86,1984143,386093,55048,1686609
15/08/2005,15.51,1988105,351805,51987,1695102
15/09/2005,16.56,1766603,345907,43824,1422495
15/10/2005,16.44,1871190,366305,41025,1428227
15/11/2005,15.64,1901758,359387,44964,1663400
15/12/2005,14.6,1995862,408522,45272,2326360
15/01/2006,14.92,1975168,360316,55600,2165268
15/02/2006,13.98,1794241,321045,58766,2144378
15/03/2006,13.17,1994464,348293,69434,2126369
15/04/2006,13.27,1908987,332248,45181,1681005
15/05/2006,14.41,1956520,350535,62557,1526297
15/06/2006,15.07,1938796,348095,65708,1550879
15/07/2006,15.72,1975235,370925,58874,1758733
15/08/2006,16.18,1989430,364972,54739,1751683
15/09/2006,15.71,1946109,333514,52583,1462070
15/10/2006,12.51,2025782,334016,58904,1644231
15/11/2006,12.45,1974331,339118,69688,1765375
15/12/2006,12.53,2055955,383205,71923,2122784
15/01/2007,12.17,2042882,393140,69221,2475594
15/02/2007,12.13,1878003,372874,56539,2566993
15/03/2007,12.81,2094555,401779,77036,2128845
15/04/2007,13.31,1994942,386837,50736,1810079
15/05/2007,14.69,2066642,380213,62477,1559080
15/06/2007,16.28,2019862,381470,57309,1555226
15/07/2007,16.71,2053286,418576,70660,1659882
15/08/2007,16.71,2076235,426534,61870,1896137
15/09/2007,16.03,2040241,361383,65077,1590484
15/10/2007,14.57,2122193,347224,63576,1627791
15/11/2007,13.04,2098602,340607,86458,1834529
15/12/2007,12.34,2176213,396945,101495,2399154
15/01/2008,12.24,2155041,389651,109302,2733970
15/02/2008,12.58,2043801,349660,99374,2503421
15/03/2008,13.13,2204088,366810,100351,2278151
15/04/2008,14.49,2112605,322122,74343,1823867
15/05/2008,16.33,2153316,297154,68981,1576387
15/06/2008,18.91,2118791,286919,61702,1604249
15/07/2008,20.77,2205260,322810,63345,1708641
15/08/2008,20.17,2193566,328663,67157,1682924
15/09/2008,18.41,1919520,313868,55330,1460924
15/10/2008,15.45,2153389,321328,66843,1635827
15/11/2008,13.8,2149851,320254,90432,1868947
15/12/2008,12.84,2227028,364862,106101,2399702
15/01/2009,12.49,2251938,356749,112989,2729715
15/02/2009,12.26,2074167,321522,103196,2332539
15/03/2009,11.98,2262488,325165,103699,2170709
15/04/2009,11.68,2147856,321848,80016,1741293
15/05/2009,12.86,2190437,265793,77072,1504000
15/06/2009,14.26,2140519,281970,66259,1527833
15/07/2009,15.27,2170032,316715,76273,1657997
15/08/2009,15.61,2192597,336848,78755,1736462
